"","time","last_exposure","inf_history","titre_type","me_nat","lo_95_nat","hi_95_nat","me_trans","lo_95_trans","hi_95_trans","vaccinate"
"88",1,"BNT162b2","Previously infected","BQ.1.1",49.6253039966154,20,410.458055884078,1.31107594,0,4.3591628975,"2nd_vax"
"89",1,"BNT162b2","Previously infected","XBB",128.918289793917,20,1082.17380320998,2.68838505,0,5.7577884125,"2nd_vax"
"90",1,"BNT162b2","Previously infected","XBB.1.5",84.6164960350317,20,722.089633060789,2.080938945,0,5.174106025,"2nd_vax"
"91",1,"mRNA1273","Infection Naive","Wildtype",949.804890848553,250.478716785585,3782.06229857364,5.56955928,3.6466161175,7.5630293175,"2nd_vax"
"92",1,"mRNA1273","Infection Naive","Alpha",462.81257208671,120.766914867893,1845.90453173642,4.53235615,2.594153365,6.52818413,"2nd_vax"
"93",1,"mRNA1273","Infection Naive","Delta",282.4741982843,74.4553387703017,1123.91454184405,3.82004719,1.8963753,5.8123885325,"2nd_vax"
"94",1,"mRNA1273","Infection Naive","BA.1",160.480972658352,41.3809876855987,630.90737492159,3.00433035,1.04896808,4.97935631,"2nd_vax"
"95",1,"mRNA1273","Infection Naive","BA.2",268.473688478356,72.4349839719783,1078.61632030456,3.7467088,1.856686645,5.753037958,"2nd_vax"
"96",1,"mRNA1273","Infection Naive","BA.5",141.634495426817,35.9359979860838,571.181706842584,2.824100775,0.845429752,4.83587787,"2nd_vax"
"97",1,"mRNA1273","Infection Naive","BQ.1.1",130.487336663264,20,1710.89966342091,2.7058379,0,6.4186113445,"2nd_vax"
"98",1,"mRNA1273","Infection Naive","XBB",335.209899366773,26.1616285723005,3827.53886695311,4.06699285,0.387452352,7.5802732175,"2nd_vax"
"99",1,"mRNA1273","Infection Naive","XBB.1.5",220.011317797119,20,2897.38890027389,3.4595058355,0,7.17860953225,"2nd_vax"
"100",1,"mRNA1273","Previously infected","Wildtype",2548.21376941874,936.519576831244,6493.96142669902,6.9933425,5.5492372475,8.342955005,"2nd_vax"
"101",1,"mRNA1273","Previously infected","Alpha",1250.33103489391,455.90690427654,3197.43665462212,5.9661663,4.5106673525,7.3207719675,"2nd_vax"
"102",1,"mRNA1273","Previously infected","Delta",765.784391588904,281.258220337671,1989.85035779686,5.25886635,3.8138233575,6.63651613,"2nd_vax"
"103",1,"mRNA1273","Previously infected","BA.1",432.225070305158,160.182552378144,1126.98224376704,4.43371085,3.001645108,5.816320975,"2nd_vax"
"104",1,"mRNA1273","Previously infected","BA.2",728.533546539194,266.165512980625,1920.71196876837,5.1869235,3.7342517485,6.5854973775,"2nd_vax"
"105",1,"mRNA1273","Previously infected","BA.5",379.555341588673,138.791453426431,1043.71609162771,4.24623835,2.7948468265,5.705585517675,"2nd_vax"
"106",1,"mRNA1273","Previously infected","BQ.1.1",343.574271633453,24.8799199298067,3490.79735159393,4.1025501,0.3149818425,7.4474127975,"2nd_vax"
"107",1,"mRNA1273","Previously infected","XBB",907.451645785781,83.4479628135883,9167.202924485,5.503748865,2.06087683,8.840337799,"2nd_vax"
"108",1,"mRNA1273","Previously infected","XBB.1.5",592.140140252653,56.2652107961445,6112.72666641458,4.88786675,1.49224316875,8.2556722475,"2nd_vax"
"109",2,"AZD1222","Infection Naive","Wildtype",147.987631672939,106.547348053103,204.301351111058,2.8874047,2.41342278,3.35262684,"2nd_vax"
"110",2,"AZD1222","Infection Naive","Alpha",72.0973583483834,52.651766668162,97.0193413283384,1.8499464,1.39648194,2.278272385,"2nd_vax"
"111",2,"AZD1222","Infection Naive","Delta",43.9764150278128,32.3943649298827,59.0658665422409,1.13673,0.695742875,1.562324655,"2nd_vax"
"112",2,"AZD1222","Infection Naive","BA.1",24.7240484961231,20,33.1752302261226,0.305915,0,0.7301064775,"2nd_vax"
"113",2,"AZD1222","Infection Naive","BA.2",41.8074369465791,30.1231645828106,57.4451209873882,1.0637596,0.59087334,1.522184365,"2nd_vax"
"114",2,"AZD1222","Infection Naive","BA.5",21.899159202826,20,31.5941281559027,0.13087548,0,0.659656455000001,"2nd_vax"
"115",2,"AZD1222","Infection Naive","BQ.1.1",20.097206756744,20,169.334145419324,0.0069949999999999,0,3.08180101,"2nd_vax"
"116",2,"AZD1222","Infection Naive","XBB",51.3321824577558,20,434.869891886795,1.3598636,0,4.4425119225,"2nd_vax"
"117",2,"AZD1222","Infection Naive","XBB.1.5",34.1106536250688,20,287.401793560952,0.7702224,0,3.84499716,"2nd_vax"
"118",2,"AZD1222","Previously infected","Wildtype",564.631221399665,395.515426255965,802.986784471134,4.819237,4.30566206,5.327304339,"2nd_vax"
"119",2,"AZD1222","Previously infected","Alpha",275.099745523356,193.642638239663,386.740980716295,3.7818829,3.27532475,4.2732957415,"2nd_vax"
"120",2,"AZD1222","Previously infected","Delta",168.002349032777,118.946867635095,236.227200330631,3.0704095,2.572245375,3.562103188,"2nd_vax"
"121",2,"AZD1222","Previously infected","BA.1",94.3646884662965,66.1643920480798,134.141197938831,2.2382471,1.726055005,2.745680486,"2nd_vax"
"122",2,"AZD1222","Previously infected","BA.2",159.90286689663,110.591049262696,225.904337264775,2.9991239,2.46716272,3.497640065,"2nd_vax"
"123",2,"AZD1222","Previously infected","BA.5",83.0652121280633,55.0058217566415,125.78834836028,2.0542444,1.45958432,2.652926388,"2nd_vax"
"124",2,"AZD1222","Previously infected","BQ.1.1",76.8725853788255,20,630.734234195769,1.94246919,0,4.978960335,"2nd_vax"
"125",2,"AZD1222","Previously infected","XBB",196.320483215786,23.505097868282,1661.03310752866,3.2951388,0.2329736875,6.375937019,"2nd_vax"
"126",2,"AZD1222","Previously infected","XBB.1.5",128.241499970154,20,1128.23084141148,2.6807913,0,5.81791847,"2nd_vax"
"127",2,"BNT162b2","Infection Naive","Wildtype",204.227735203046,166.113662879282,250.080977940353,3.3521069,3.054098835,3.64432342,"2nd_vax"
"128",2,"BNT162b2","Infection Naive","Alpha",99.3962759648538,80.1855760499217,122.866130970492,2.3131918,2.003342745,2.619015375,"2nd_vax"
"129",2,"BNT162b2","Infection Naive","Delta",60.6059862328307,48.8421859460209,75.0170707727704,1.5994603,1.28812777,1.9072189305,"2nd_vax"
"130",2,"BNT162b2","Infection Naive","BA.1",34.1144937441456,27.051163748043,42.9800533933202,0.770384807,0.4356906605,1.103667275,"2nd_vax"
"131",2,"BNT162b2","Infection Naive","BA.2",57.5803628397512,44.4833689569492,73.407719563082,1.52557688,1.153266055,1.875931785,"2nd_vax"
"132",2,"BNT162b2","Infection Naive","BA.5",30.1809203353539,21.5366268935199,41.5951779741234,0.5936368,0.10679231,1.05641629,"2nd_vax"
"133",2,"BNT162b2","Infection Naive","BQ.1.1",27.3250133358844,20,235.0865352743,0.4502222,0,3.555120005,"2nd_vax"
"134",2,"BNT162b2","Infection Naive","XBB",70.8610626190726,20,612.947400241628,1.8249931,0,4.93769137,"2nd_vax"
"135",2,"BNT162b2","Infection Naive","XBB.1.5",47.1545733691661,20,401.360608398822,1.2373977,0,4.326827125,"2nd_vax"
"136",2,"BNT162b2","Previously infected","Wildtype",439.002028215393,339.689081067051,564.581257078396,4.4561557,4.08614294,4.81910933,"2nd_vax"
"137",2,"BNT162b2","Previously infected","Alpha",213.232205986315,167.840602873548,273.400196550211,3.41435345,3.06901986,3.772942375,"2nd_vax"
"138",2,"BNT162b2","Previously infected","Delta",130.520851553959,102.141852515092,167.097465389891,2.7062084,2.352502225,3.062617945,"2nd_vax"
"139",2,"BNT162b2","Previously infected","BA.1",73.5406077894206,57.0423237708305,93.8982284345892,1.8785411,1.512032755,2.231097939,"2nd_vax"
"140",2,"BNT162b2","Previously infected","BA.2",124.212469012137,94.62800861119,160.413831301983,2.6347381,2.242267265,3.003726635,"2nd_vax"
"141",2,"BNT162b2","Previously infected","BA.5",64.7603220449677,45.9603337679752,90.7771616556896,1.69511016,1.200389275,2.18232938,"2nd_vax"
"142",2,"BNT162b2","Previously infected","BQ.1.1",58.9570676157871,20,492.306285115562,1.55966477,0,4.621484253,"2nd_vax"
"143",2,"BNT162b2","Previously infected","XBB",152.801077322061,20,1276.87657874571,2.93358281,0,5.9964752725,"2nd_vax"
"144",2,"BNT162b2","Previously infected","XBB.1.5",100.393043536376,20,858.576169487643,2.3275874,0,5.423874225,"2nd_vax"
"145",2,"mRNA1273","Infection Naive","Wildtype",973.005004371502,267.381682669388,3671.56952514729,5.60437532,3.74082873,7.520253109,"2nd_vax"
"146",2,"mRNA1273","Infection Naive","Alpha",473.205274695767,129.633094863979,1806.52648855001,4.56439425,2.696362175,6.4970745985,"2nd_vax"
"147",2,"mRNA1273","Infection Naive","Delta",289.118716182488,80.3406083105971,1089.6550984429,3.8535901,2.006129385,5.76772775,"2nd_vax"
"148",2,"mRNA1273","Infection Naive","BA.1",162.553222321496,44.1799142184652,611.500885595718,3.02284025,1.1433906175,4.934282683,"2nd_vax"
"149",2,"mRNA1273","Infection Naive","BA.2",274.170206521911,77.3629575804811,1047.87147314933,3.7769999,1.95164295,5.7113179635,"2nd_vax"
"150",2,"mRNA1273","Infection Naive","BA.5",143.504806129702,38.493856645971,550.533850333626,2.84302715,0.94462822,4.7827593675,"2nd_vax"
"151",2,"mRNA1273","Infection Naive","BQ.1.1",132.620114447711,20,1682.55693861714,2.7292277,0,6.394511517,"2nd_vax"
"152",2,"mRNA1273","Infection Naive","XBB",340.912643288166,26.7103275700235,3864.39559898175,4.0913302,0.417397669,7.5940989805,"2nd_vax"
"153",2,"mRNA1273","Infection Naive","XBB.1.5",224.031046268452,20,2912.45245878145,3.48562677,0,7.18609069,"2nd_vax"
"154",2,"mRNA1273","Previously infected","Wildtype",2643.58883949775,1023.9262951869,6517.07926255731,7.046354,5.67796806,8.3480817313,"2nd_vax"
"155",2,"mRNA1273","Previously infected","Alpha",1295.49954626127,490.122636638664,3167.07466581068,6.0173647,4.615070875,7.30700707,"2nd_vax"
"156",2,"mRNA1273","Previously infected","Delta",794.081224873675,304.097509835127,1968.42989368335,5.31121468,3.9264620975,6.6209015211,"2nd_vax"
"157",2,"mRNA1273","Previously infected","BA.1",443.886943896343,171.875467793406,1101.42084695607,4.47212037,3.103291735,5.78322201,"2nd_vax"
"158",2,"mRNA1273","Previously infected","BA.2",753.001899975811,284.061309918075,1890.57455100646,5.2345816,3.82813044,6.56268093,"2nd_vax"
"159",2,"mRNA1273","Previously infected","BA.5",389.646400804813,149.776511477881,1018.4975234034,4.284093585,2.9047394875,5.670298662,"2nd_vax"
"160",2,"mRNA1273","Previously infected","BQ.1.1",350.135854836024,25.7865900930829,3595.69562645776,4.1298429,0.36662101,7.4901270925,"2nd_vax"
"161",2,"mRNA1273","Previously infected","XBB",932.568535877344,87.9268759151666,9465.17056694914,5.54313785,2.13630421,8.886484694,"2nd_vax"
"162",2,"mRNA1273","Previously infected","XBB.1.5",609.482756690385,57.8589938313396,6277.44102032935,4.9295135,1.532541235,8.2940327585,"2nd_vax"
"163",3,"AZD1222","Infection Naive","Wildtype",158.84128146838,117.442129064677,214.763593904703,2.989514,2.5538781225,3.4246775475,"2nd_vax"
"164",3,"AZD1222","Infection Naive","Alpha",77.3486332776283,57.8949074901151,101.678388622532,1.9513758,1.5334364525,2.345941167,"2nd_vax"
"165",3,"AZD1222","Infection Naive","Delta",47.1963404824419,35.6300260311836,62.1480461232122,1.238675,0.8330935375,1.635709035,"2nd_vax"
"166",3,"AZD1222","Infection Naive","BA.1",26.364430074338,20,34.6515655025631,0.39859281,0,0.792920532500001,"2nd_vax"
"167",3,"AZD1222","Infection Naive","BA.2",44.7168573260367,32.9038851778929,60.5389357125208,1.1608188,0.7182579425,1.5978633125,"2nd_vax"
"168",3,"AZD1222","Infection Naive","BA.5",23.3565113196355,20,33.2920571194636,0.2238248,0,0.7351780175,"2nd_vax"
"169",3,"AZD1222","Infection Naive","BQ.1.1",21.4271667591087,20,179.949373890933,0.0994411000000001,0,3.1695191775,"2nd_vax"
"170",3,"AZD1222","Infection Naive","XBB",54.6140823156955,20,459.958554517261,1.449273,0,4.523431965,"2nd_vax"
"171",3,"AZD1222","Infection Naive","XBB.1.5",36.3376343398579,20,307.787801050534,0.8614645,0,3.9438641475,"2nd_vax"
"172",3,"AZD1222","Previously infected","Wildtype",591.806640665976,422.783052056682,828.331121775067,4.88705398,4.40184564,5.372135689,"2nd_vax"
"173",3,"AZD1222","Previously infected","Alpha",287.388305250367,207.086429735757,398.374871835743,3.84492945,3.3721611125,4.31605474475,"2nd_vax"
"174",3,"AZD1222","Previously infected","Delta",175.720207129164,126.897137443932,240.912699272547,3.1352082,2.66558762,3.5904385395,"2nd_vax"
"175",3,"AZD1222","Previously infected","BA.1",98.0556832091681,69.6429569858436,137.254637871612,2.29360125,1.79997746,2.778782994,"2nd_vax"
"176",3,"AZD1222","Previously infected","BA.2",166.756223494731,117.446219476896,230.657423840593,3.0596687,2.5539283695,3.527679822,"2nd_vax"
"177",3,"AZD1222","Previously infected","BA.5",86.551727808116,57.6172043879803,128.568173608833,2.11356262,1.526499662,2.68446165,"2nd_vax"
"178",3,"AZD1222","Previously infected","BQ.1.1",80.0275365440575,20,654.860102684884,2.0004965,0,5.0331148325,"2nd_vax"
"179",3,"AZD1222","Previously infected","XBB",203.789194146542,24.5434077651523,1717.34284823553,3.34900565,0.295335576,6.42403427575,"2nd_vax"
"180",3,"AZD1222","Previously infected","XBB.1.5",134.510132650133,20,1166.42685658387,2.74964295,0,5.8659520325,"2nd_vax"
"181",3,"BNT162b2","Infection Naive","Wildtype",262.98498923206,215.207950240953,319.185028974976,3.71690855,3.42765947,3.99632108,"2nd_vax"
"182",3,"BNT162b2","Infection Naive","Alpha",127.561207122495,103.587518699808,156.855786701274,2.67311775,2.3727782775,2.97136684875,"2nd_vax"
"183",3,"BNT162b2","Infection Naive","Delta",77.8062716644665,63.22286735659,95.3596522695607,1.95988645,1.6604464675,2.253378975,"2nd_vax"
"184",3,"BNT162b2","Infection Naive","BA.1",43.5547223750497,34.8875943881918,54.2953583631213,1.12282915,0.8027141225,1.44082886925,"2nd_vax"
"185",3,"BNT162b2","Infection Naive","BA.2",73.7436231376594,57.434484613907,93.460010384305,1.8825183,1.521917215,2.2243491975,"2nd_vax"
"186",3,"BNT162b2","Infection Naive","BA.5",38.4893271249276,27.594188856727,52.8256288873941,0.94445845,0.4643644775,1.4012380375,"2nd_vax"
"187",3,"BNT162b2","Infection Naive","BQ.1.1",35.0790943093928,20,293.631745288918,0.8106115,0,3.875936045,"2nd_vax"
